Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.53,-.23,-.30,-.05,-.18,-.22,-.25,-.24,-.30,-.43,-.42,-.30,***,***,-.20,-.22,-.32
1881,-.31,-.25,-.06,-.02,.05,-.34,.09,-.06,-.28,-.44,-.37,-.24,-.19,-.20,-.33,-.01,-.10,-.37
1882,.25,.21,.02,-.30,-.23,-.29,-.28,-.15,-.25,-.52,-.33,-.68,-.21,-.17,.08,-.17,-.24,-.37
1883,-.57,-.66,-.15,-.30,-.26,-.12,-.06,-.23,-.34,-.17,-.44,-.15,-.29,-.33,-.64,-.23,-.14,-.32
1884,-.16,-.11,-.64,-.59,-.36,-.41,-.41,-.52,-.45,-.44,-.58,-.47,-.43,-.40,-.14,-.53,-.45,-.49
1885,-1.00,-.46,-.24,-.49,-.58,-.45,-.34,-.41,-.39,-.37,-.38,-.12,-.44,-.46,-.64,-.44,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.33,-.37,-.14,-.43,-.33,-.31,-.41,-.22,-.44,-.43,-.57,-.47,-.32,-.35
1887,-1.08,-.70,-.44,-.39,-.26,-.21,-.25,-.56,-.21,-.49,-.28,-.43,-.44,-.43,-.67,-.36,-.34,-.33
1888,-.49,-.61,-.64,-.22,-.15,-.03,-.01,-.22,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.09,-.21,-.30,-.42,-.62,-.55,-.18,-.15,-.08,.03,-.12,-.45
1890,-.64,-.58,-.47,-.25,-.36,-.16,-.24,-.40,-.36,-.11,-.63,-.47,-.39,-.40,-.59,-.36,-.27,-.36
1891,-.46,-.67,-.16,-.35,-.15,-.13,-.12,-.13,-.08,-.28,-.52,-.02,-.26,-.29,-.53,-.22,-.13,-.29
1892,-.50,-.18,-.66,-.45,-.23,-.05,-.38,-.33,-.21,-.27,-.83,-.67,-.40,-.34,-.23,-.45,-.26,-.44
1893,-1.51,-.96,-.32,-.30,-.43,-.18,-.14,-.35,-.29,-.29,-.34,-.61,-.48,-.48,-1.05,-.35,-.23,-.31
1894,-.92,-.42,-.22,-.54,-.27,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.71,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.63,-.33,-.23,-.10
1896,-.37,-.18,-.50,-.61,-.17,.07,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.42,-.02,-.10
1897,-.41,-.42,-.40,-.05,.13,-.06,.04,-.07,-.07,-.16,-.26,-.29,-.17,-.16,-.35,-.11,-.03,-.16
1898,.04,-.45,-.80,-.28,-.29,-.09,-.12,-.19,-.18,-.37,-.51,-.27,-.29,-.29,-.23,-.46,-.13,-.35
1899,-.13,-.64,-.59,-.22,-.25,-.36,-.17,-.07,-.05,.04,.35,-.47,-.21,-.20,-.35,-.35,-.20,.12
1900,-.62,-.14,.05,-.10,-.04,-.10,-.12,-.09,-.03,.23,-.13,-.03,-.09,-.13,-.41,-.03,-.10,.02
1901,-.33,-.10,.27,.11,-.11,.01,.01,-.16,-.27,-.32,-.19,-.40,-.12,-.09,-.16,.09,-.04,-.26
1902,-.13,-.03,-.37,-.37,-.40,-.40,-.33,-.29,-.33,-.32,-.47,-.60,-.34,-.32,-.19,-.38,-.34,-.38
1903,-.23,.11,-.17,-.47,-.44,-.46,-.43,-.56,-.49,-.46,-.41,-.57,-.38,-.38,-.24,-.36,-.48,-.45
1904,-.75,-.61,-.46,-.50,-.44,-.49,-.59,-.55,-.64,-.39,-.09,-.34,-.49,-.51,-.64,-.47,-.54,-.37
1905,-.41,-.82,-.23,-.46,-.28,-.28,-.21,-.24,-.19,-.27,.08,-.17,-.29,-.30,-.52,-.32,-.24,-.13
1906,-.56,-.52,-.19,.06,-.25,-.11,-.27,-.16,-.23,-.17,-.39,.05,-.23,-.25,-.42,-.13,-.18,-.26
1907,-.57,-.71,-.29,-.44,-.57,-.51,-.41,-.39,-.40,-.19,-.56,-.59,-.47,-.42,-.41,-.43,-.44,-.38
1908,-.54,-.28,-.72,-.47,-.29,-.30,-.36,-.57,-.31,-.45,-.63,-.56,-.46,-.46,-.47,-.49,-.41,-.47
1909,-.94,-.45,-.67,-.65,-.50,-.53,-.45,-.37,-.37,-.35,-.12,-.58,-.50,-.50,-.65,-.61,-.45,-.28
1910,-.35,-.37,-.49,-.41,-.31,-.46,-.39,-.41,-.43,-.32,-.62,-.81,-.45,-.43,-.43,-.41,-.42,-.46
1911,-.70,-.59,-.62,-.46,-.46,-.34,-.39,-.43,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.39,-.26
1912,-.35,-.17,-.60,-.16,-.13,-.14,-.53,-.77,-.81,-.85,-.52,-.57,-.47,-.44,-.27,-.29,-.48,-.72
1913,-.56,-.64,-.47,-.50,-.55,-.49,-.52,-.46,-.42,-.39,-.15,.11,-.42,-.48,-.59,-.51,-.49,-.32
1914,.17,-.11,-.36,-.39,-.19,-.22,-.34,-.28,-.30,-.01,-.22,-.06,-.19,-.18,.06,-.31,-.28,-.18
1915,-.27,-.09,-.24,.07,-.01,-.13,-.11,-.16,-.21,-.27,-.03,-.24,-.14,-.12,-.14,-.06,-.13,-.17
1916,-.09,-.17,-.39,-.34,-.37,-.50,-.34,-.37,-.49,-.35,-.46,-1.13,-.42,-.34,-.17,-.37,-.40,-.44
1917,-.52,-.68,-.74,-.64,-.73,-.49,-.32,-.40,-.31,-.63,-.32,-1.06,-.57,-.57,-.77,-.70,-.40,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.46,-.34,-.37,-.25,-.05,-.22,-.56,-.39,-.44,-.74,-.44,-.39,-.17
